Paket;NOPEN;NAMA KANTOR;NOPEN INDUK;REGIONAL;JENIS KANTOR;Status PSO;ALAMAT;PROVINSI;LATITUDE;LONGITUDE
PAKET 1;20000;MEDAN;-;REGIONAL 1;KCU;Non LPU;Jl. Pos No. 1 Medan 20111, Kel. Kesawan, Kec. Medan Barat, Medan;Sumatera Utara;3.591.867;98.677.388
PAKET 1;20004;KANTOR REGIONAL 1;-;REGIONAL 1;KCU;Non LPU;Jl. Prof. H.M. Yamin, S.H. No. 44,Kel. Gunung Batu, Kec. Medan Timur, Medan 20231;Sumatera Utara;3.594.084;98.680.461
PAKET 1;20900;SPP MEDAN;-;REGIONAL 1;KCU;Non LPU;Jl.Raya Medan - Tanjung Merawa, Kel. Tanjung Baru, Kec. Tanjung Merawa, Deli Serdang;Sumatera Utara;3.550.943;98.828.371
PAKET 1;23000;BANDAACEH;-;REGIONAL 2;SPP;Non LPU;Jl. T. Hamzah Bendahara No. 33 Banda Aceh, Kel. Kuta Alam, Kec. Kuta Alam, Banda Aceh;Nanggroe Aceh Darussalam;5.555.873;95.325.635
PAKET 1;25000;PADANG;-;REGIONAL 2;KCU;Non LPU;Jl. Bagindo Azis Can No. 7 Padang, Kel. Pasar Baru, Kec. Padang Barat, Padang;Sumatera Barat;-0.950585;100.363.428
PAKET 1;28000;PEKANBARU;-;REGIONAL 2;KCU;Non LPU;Jl. Jend. Sudirman No. 229 Pekanbaru 28111, Kel. Sumahilang, Kec. Pekanbaru Kota, Pekanbaru Kota;Riau;0.521717;101.447.997
PAKET 1;29400;BATAM;-;REGIONAL 2;KCU;Non LPU;Jl. Jend. Sudirman Batam Center, Kel. Teluk Tering, Kec. Nongsa, Batam;Kepulauan Riau;113.084.498.825.855;104.051.237.691.909
PAKET 1;30000;PALEMBANG;-;REGIONAL 2;SPP;Non LPU;Jl. Merdeka No. 3,Palembang 30132, Kel. 19 Ilir, Kec.Ilir Barat I, Palembang;Sumatera Selatan;-2.989.203;104.759.694
PAKET 1;30400;SPP PALEMBANG;-;REGIONAL 2;KCU;Non LPU;Jl. Tanjung Api Api, Kel. Kebun Bunga, Kec. Sukarame, Palembang;Sumatera Selatan;-2.909.018;104.721.763
PAKET 1;35000;BANDARLAMPUNG;-;REGIONAL 2;KCU;Non LPU;Jl. KH Ahmad Dahlan No.21, Kel. Pahoman, Kec. Telukbetung Utara, Bandar Lampung;Lampung;-5.424.759;105.272.173
PAKET 1;36000;JAMBI;-;REGIONAL 2;KCU;Non LPU;Jl. Sultan Taha No. 5, Kel. Pasar, Kec. Jambi Pasar, Jambi;Jambi;-1.588.873;103.616.916
PAKET 1;38000;BENGKULU;-;REGIONAL 2;SPP;Non LPU;Jl. S. Parman No. 111, Kel. Tanah Patah, Kec. Gading Cempaka, Bengkulu;Bengkulu;-3.802.821;102.275.983
PAKET 1;10400;SPP JAKARTA;-;REGIONAL 2;SPP;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6.193.982;10.690.121
PAKET 1;11000;JAKARTAOCEANIA;-;REGIONAL 2;KCU;Non LPU;Jl. Daan Mogot No. 20, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Jakarta Barat;DKI Jakarta;-6.162.866;106.774.804
PAKET 1;12000;JAKARTAFLORA;-;REGIONAL 3;KCU;Non LPU;Jl. RS. Fatmawati No. 10, Kel. Lebak Bulus, Kec. Cilandak, Jakarta Selatan;DKI Jakarta;-6.294.455;106.794.715
PAKET 1;13000;JAKARTAPREMIER;-;REGIONAL 3;Kantor Regional;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6.193.982;10.690.121
PAKET 1;13400;SPP JAKARTATIMUR;-;REGIONAL 3;SPP;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6,193982;106,90121
PAKET 1;15000;TANGERANG;-;REGIONAL 3;KCU;Non LPU;Jl. Daan Mogot No 11 Tangerang, Kel. Sukarasa, Kec. Tangerang Kota, Tangerang;Banten;-6.174.547;106.630.165
PAKET 1;16000;BOGOR;-;REGIONAL 3;KCU;Non LPU;Jl. IR H Juanda No. 5, Kel. Paledang, Kec. Bogor Tengah, Bogor;Jawa Barat;-6.600.023;106.795.086
PAKET 1;17000;BEKASI;-;REGIONAL 4;KCU;Non LPU;Jl. Lapangan Multiguna No. 7, Kel. Margahayu, Kec. Bekasi Timur, Bekasi;Jawa Barat;-6.249.725;107.010.936
PAKET 1;18000;KTPL TANJUNGPRIOK;-;REGIONAL 4;Kantor Regional;Non LPU;Jl. Cumi No. 38-39, Tanjung Priok;DKI Jakarta;-6.132.055;106.871.485
PAKET 1;19000;KTPU JAKARTASOEKARNOHATTA;-;REGIONAL 4;SPP;Non LPU;Jl. Cargo Area Bandara International Soekaro Hatta, Kel. Benda, Kec. Benda, Tangerang Banten;Banten;-612.434;106.659.253
PAKET 1;42100;SERANG;-;REGIONAL 4;KCU;Non LPU;Jl. Veteran No. 3 Serang, Kel. Kotabaru, Kec. Serang, Serang;Banten;-6.116.375;106.152.864
PAKET 1;40000;BANDUNG;-;REGIONAL 4;KCU;Non LPU;Jl. Asia Afrika No. 49 Bandung, Kel. Braga, Kec. Sumur Bandung, Bandung;Jawa Barat;-6.920.837;107.606.172
PAKET 1;40004;KANTOR REGIONAL 3 BANDUNG;-;REGIONAL 4;KCU;Non LPU;Jl. Pahlawan No. 87, Bandung 40123, Kel. Sukaluyu, Kec. Cibeunying Kaler, Bandung;Jawa Barat;-689.418.027.494.068;107.634.676.694.869
PAKET 1;40400;SPP BANDUNG;-;REGIONAL 4;SPP;Non LPU;Jl. Soekarno Hatta No. 558, Kel. Sekejati, Kec. Buahbatu, Bandung;Jawa Barat;-6.943.084;107.651.001
PAKET 1;41300;KARAWANG;-;REGIONAL 4;KCU;Non LPU;Jl. Alun-Alun Selatan No. 1, Kel. Nagasari, Kec. Karawang Barat, Karawang;Jawa Barat;-6.310.921;107.293.386
PAKET 1;45100;CIREBON;-;REGIONAL 5;KCU;Non LPU;Jl. Yos Sudarso No. 9, Kel. Lemah Wungkuk, Kec. Lemah Wungkuk, Cirebon;Jawa Barat;-6.719.652;108.571.988
PAKET 1;50000;SEMARANG;-;REGIONAL 5;Kantor Regional;Non LPU;Jl. Pemuda No. 4 Semarang, Kel. Kauman, Kec. Semarang Tengah, Semarang;Jawa Tengah;-6.969.879;110.424.185
PAKET 1;50004;KANTOR REGIONAL 4 SEMARANG;-;REGIONAL 5;SPP;Non LPU;Jl. Sisingamangaraja No. 45, Semarang 50253, Kel. Kaliwiru, Kec. Candisari, Semarang;Jawa Tengah;-7.015.406;110.423.944
PAKET 1;50400;SPP SEMARANG;-;REGIONAL 5;KCU;Non LPU;Jl. Imam Barjo sh No. 3, Kel. Peleburan, Kec. Semarang Selatan, Semarang;Jawa Tengah;-6.993.282;11.042.231
PAKET 1;51100;PEKALONGAN;-;REGIONAL 5;KCU;Non LPU;Jl. Cendrawasih No. 1 Pekalongan, Kel. Kandang Panjang, Kec. Pekalongan Utara, Kota Pekalongan;Jawa Tengah;-6.877.677;109.674.098
PAKET 1;53100;PURWOKERTO;-;REGIONAL 5;KCU;Non LPU;Jl. Jend. Sudirman No. 435, Kel. Kranji, Kec. Purwokerto Timur, Banyumas;Jawa Tengah;-7.427.207;109.239.047
PAKET 1;55000;YOGYAKARTA;-;REGIONAL 5;KCU;Non LPU;Jl. P.Senopati No. 2, Kel. Gondomanan, Kec. Gondomanan, Yogyakarta;Daerah Istimewa Yogyakarta;-7.801.786;110.365.073
PAKET 1;55400;SPP YOGYAKARTA;-;REGIONAL 5;SPP;Non LPU;Jl. Plemburan No. 7, Kel. Sariharjo, Kec. Ngaglik, Sleman;Daerah Istimewa Yogyakarta;-7.749.921;110.377.725
PAKET 1;57100;SOLO;-;REGIONAL 5;KCU;Non LPU;Jl. Jend. Sudirman No. 8 Solo 57111 Kel. Kampung Baru Pasar, Kec. Kliwon, Surakarta;Jawa Tengah;-7.571.033;110.829.622
PAKET 1;60000;SURABAYA;-;REGIONAL 5;KCU;Non LPU;Jl. Kebon Rojo No. 10, Kel. Krembangan Selatan, Kec. Krembangan, Surabaya;Jawa Timur;-7.242.784;112.737.454
PAKET 1;60004;KANTOR REGIONAL 5 SURABAYA;-;REGIONAL 6;KCU;Non LPU;Jl. Krembangan Barat 73 - 75, Kec. Krembangan, Surabaya 60175;Jawa Timur;-723.606;112.734.167
PAKET 1;63100;MADIUN;-;REGIONAL 6;KCU;Non LPU;Jl. Pahlawan No. 24 Madiun, Kel. Lor, Kec. Mangunharjo, Madiun;Jawa Timur;-7.619.312;111.521.501
PAKET 1;65100;MALANG;-;REGIONAL 6;KCU;Non LPU;Jl. Merdeka Selatan No. 5, Kel. Kauman, Kec. Klojen, Malang;Jawa Timur;-7.983.654;112.630.393
PAKET 1;68100;JEMBER;-;REGIONAL 6;KCU;Non LPU;Jl. Sudirman No. 5 Jember 68114 Jember, Kel. Lor, Kec. Patrang, Jember;Jawa Timur;-8.167.933;113.701.957
PAKET 1;80000;DENPASAR;-;REGIONAL 6;KCU;Non LPU;Jl. Raya Puputan Renon, Kel. Sumerta Klod, Kec. Denpasar Selatan, Denpasar;Bali;-8.672.483;11.522.948
PAKET 1;83000;MATARAM;-;REGIONAL 6;SPP;Non LPU;Jl. Sriwijaya Mataram 83161, Kel. Mataram, Kec. Mataram, Mataram;Nusa Tenggara Barat;-859.461;11.610.312
PAKET 1;85000;KUPANG;-;REGIONAL 6;KCU;Non LPU;Jl. Palapa No. 1Kupang 85111, Kel. Oebobo, Kec. Kelapa Lima, Kupang;Nusa Tenggara Timur;-10.167.953;123.597.875
PAKET 1;70000;BANJARMASIN;-;REGIONAL 6;KCU;Non LPU;Jl. Lambung Mangkurat No. 19, Kel. Kertak Baru, Kec. Banjarmasin Tengah, Banjarmasin;Kalimantan Selatan;-3.325.023;114.591.368
PAKET 1;70400;SPP BANJARMASIN;-;REGIONAL 6;KCU;Non LPU;Jl. A Yani KM 23, Kel. Landasan Ulin Tengah, Kec. Landasan Ulin, Banjarbaru;Kalimantan Selatan;-344.096;114.739.307
PAKET 1;73000;PALANGKARAYA;-;REGIONAL 6;KCU;Non LPU;Jl. Imam Bonjol No. 3, Kel. Menteng, Kec. Jekan Raya, Palangkaraya;Kalimantan Tengah;-2.209.989;113.917.314
PAKET 1;76100;BALIKPAPAN;-;REGIONAL 6;KCU;Non LPU;Jl. Jend. Sudirman No. 31, Kel. Kelandasan Ulu, Kec. Balikpapan Kota, Balikpapan;Kalimantan Timur;-127.677;116.826.968
PAKET 1;78000;PONTIANAK;-;REGIONAL 6;SPP;Non LPU;Jl. Sutan Abdurahman No. 49 Ptk, Kel. Sungai Bangkong, Kec. Pontianak Barat, Pontianak;Kalimantan Barat;-0.0386;109.328.685
PAKET 1;90000;MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. Slamet Riyadi No. 10, Kel. Bulogading, Kec. Ujungpandang, Makassar;Sulawesi Selatan;-5.134.727;119.406.838
PAKET 1;90004;KANTOR REGIONAL 6 MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. A. P. Pettarani, Kel. Rappocini, Kec. Tamalate, Makassar 90222;Sulawesi Selatan;-516.441;119.434.728
PAKET 1;90400;SPP MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. Perintis kemerdekaan KM 16, Kel. Pai, Kec. Biringkanaya, Makassar;Sulawesi Selatan;-5.093.374;119.513.996
PAKET 1;93000;KENDARI;-;REGIONAL 1;KC;Non LPU;Jl Ahmad Yani No. 206, Jl. Jendral Ahmad Yani, Kel. Anoiwoi, Kec. Kadia, Kendari;Sulawesi Tenggara;-39.616.557;1.225.212.509
PAKET 1;94000;PALU;-;REGIONAL 1;KC;Non LPU;Jl. Moh Yamin, Kel. Lolu, Kec. Palu Timur, Palu;Sulawesi Tengah;-0.906519;119.888.783
PAKET 1;95000;MANADO;-;REGIONAL 1;KC;Non LPU;Jl. Sam Ratulangi No. 23, Kel. Wenang, Kec. Wenang, Manado;Sulawesi Utara;148.803;124.838.425
PAKET 1;97000;AMBON;-;REGIONAL 1;KC;Non LPU;Jl. Raya Pattimura No. 20, Kel. Untetu, Kec. Sirimau, Ambon;Maluku;-3.695.881;128.184.595
PAKET 1;99000;JAYAPURA;-;REGIONAL 1;KC;Non LPU;Jl. Koti No. 3 Kel. Numbay, Kec. Jayapura Selatan, Jayapura;Papua;-254.307.793.801.502;140.706.738.179.237
PAKET 2A;20600;TEBINGTINGGIDELI;-;REGIONAL 1;KC;Non LPU;Jl. Sutomo No. 36 Tebintinggideli, Kel. Tebingtinggi Lama, Kec. Padang Hilir, Tebingtinggi;Sumatera Utara;332.775.599.172.786;991.630.995.889.549
